Stock Ticker,Date,Price
META,2023-03-07,185.787003
META,2023-03-14,193.520004
META,2023-03-21,200.769897
META,2023-03-28,199.494995
META,2023-04-04,213.714996
META,2023-04-11,214.410004
META,2023-04-18,217.820007
META,2023-04-25,208.770004
META,2023-05-02,240.617996
META,2023-05-09,234.970001
META,2023-05-16,238.059998
META,2023-05-23,249.450607
META,2023-05-30,264.160004
META,2023-06-06,274.049988
META,2023-06-13,271.702789
META,2023-06-20,282.480103
META,2023-06-27,286.957886
META,2023-07-11,297.869995
META,2023-07-18,312.799988
META,2023-07-25,295.769989
META,2023-08-01,322.758698
META,2023-08-08,312.825409
META,2023-08-15,303.649994
META,2023-08-22,289.079987
META,2023-08-29,296.785004
META,2023-09-05,300.060791
META,2023-09-12,303.200012
META,2023-09-19,303.700012
META,2023-09-26,297.839996
META,2023-10-03,300.095001
META,2023-10-10,321.769989
META,2023-10-17,323.13501
META,2023-10-24,312.75
META,2023-10-31,300.070007
META,2023-11-07,320.160004
META,2023-11-14,336.459991
META,2023-11-21,338.939789
META,2023-11-28,335.755005
META,2023-12-05,316.345001
META,2023-12-12,330.380005
META,2023-12-19,350.429993
META,2023-12-26,354.36499
AAPL,2023-03-07,152.491699
AAPL,2023-03-14,151.815002
AAPL,2023-03-21,158.684998
AAPL,2023-03-28,156.455002
AAPL,2023-04-04,166.079895
AAPL,2023-04-11,161.411697
AAPL,2023-04-18,165.925003
AAPL,2023-04-25,164.339996
AAPL,2023-05-02,168.809998
AAPL,2023-05-09,172.205002
AAPL,2023-05-16,172.161102
AAPL,2023-05-23,172.074997
AAPL,2023-05-30,177.149994
AAPL,2023-06-06,178.714996
AAPL,2023-06-13,183.020798
AAPL,2023-06-20,185.929993
AAPL,2023-06-27,187.785004
AAPL,2023-07-11,187.410004
AAPL,2023-07-18,192.934998
AAPL,2023-07-25,194.199997
AAPL,2023-08-01,195.729507
AAPL,2023-08-08,178.893295
AAPL,2023-08-15,178.129898
AAPL,2023-08-22,177.130005
AAPL,2023-08-29,183.740005
AAPL,2023-09-05,189.229996
AAPL,2023-09-12,177.569901
AAPL,2023-09-19,178.580002
AAPL,2023-09-26,172.845001
AAPL,2023-10-03,172.001801
AAPL,2023-10-10,178.449997
AAPL,2023-10-17,177.667801
AAPL,2023-10-24,172.190002
AAPL,2023-10-31,170.281998
AAPL,2023-11-07,182.014999
AAPL,2023-11-14,187.460007
AAPL,2023-11-21,190.119995
AAPL,2023-11-28,189.970093
AAPL,2023-12-05,193.139999
AAPL,2023-12-12,193.660004
AAPL,2023-12-19,196.244995
AAPL,2023-12-26,193.139999
AMZN,2023-03-07,94.125603
AMZN,2023-03-14,93.789902
AMZN,2023-03-21,99.720001
AMZN,2023-03-28,97.379898
AMZN,2023-04-04,103.179901
AMZN,2023-04-11,99.925003
AMZN,2023-04-18,102.035004
AMZN,2023-04-25,103.974998
AMZN,2023-05-02,103.385002
AMZN,2023-05-09,106.591301
AMZN,2023-05-16,114.199997
AMZN,2023-05-23,116.082802
AMZN,2023-05-30,121.419899
AMZN,2023-06-06,126.940002
AMZN,2023-06-13,126.639999
AMZN,2023-06-20,126.130096
AMZN,2023-06-27,129.220001
AMZN,2023-07-11,128.529999
AMZN,2023-07-18,133.045898
AMZN,2023-07-25,129.160004
AMZN,2023-08-01,132.210007
AMZN,2023-08-08,139.690002
AMZN,2023-08-15,138.1604
AMZN,2023-08-22,134.320007
AMZN,2023-08-29,134.154999
AMZN,2023-09-05,136.690002
AMZN,2023-09-12,142.509995
AMZN,2023-09-19,136.541
AMZN,2023-09-26,127.169998
AMZN,2023-10-03,125.099998
AMZN,2023-10-10,129.615005
AMZN,2023-10-17,131.970001
AMZN,2023-10-24,127.315002
AMZN,2023-10-31,132.529999
AMZN,2023-11-07,143.080002
AMZN,2023-11-14,146.460007
AMZN,2023-11-21,143.003006
AMZN,2023-11-28,146.910004
AMZN,2023-12-05,146.529999
AMZN,2023-12-12,146.699997
AMZN,2023-12-19,153.429993
AMZN,2023-12-26,153.184998
NFLX,2023-03-07,310.674896
NFLX,2023-03-14,294.940002
NFLX,2023-03-21,305.769989
NFLX,2023-03-28,324.190002
NFLX,2023-04-04,346.029999
NFLX,2023-04-11,340.570007
NFLX,2023-04-18,332.859985
NFLX,2023-04-25,322.914795
NFLX,2023-05-02,319.380005
NFLX,2023-05-09,334.269989
NFLX,2023-05-16,332.62619
NFLX,2023-05-23,355.934998
NFLX,2023-05-30,391.839996
NFLX,2023-06-06,397.734985
NFLX,2023-06-13,432.529999
NFLX,2023-06-20,434.285004
NFLX,2023-06-27,418.910004
NFLX,2023-07-11,437.75
NFLX,2023-07-18,462.549988
NFLX,2023-07-25,429.709991
NFLX,2023-08-01,440.279999
NFLX,2023-08-08,437.019989
NFLX,2023-08-15,427.684998
NFLX,2023-08-22,412.359985
NFLX,2023-08-29,426.730011
NFLX,2023-09-05,449.570007
NFLX,2023-09-12,441.119995
NFLX,2023-09-19,394.119995
NFLX,2023-09-26,380.329987
NFLX,2023-10-03,376.040009
NFLX,2023-10-10,379.820007
NFLX,2023-10-17,357.209991
NFLX,2023-10-24,411.507507
NFLX,2023-10-31,407.774994
NFLX,2023-11-07,435.670013
NFLX,2023-11-14,451.605011
NFLX,2023-11-21,476.109985
NFLX,2023-11-28,477.679993
NFLX,2023-12-05,452.059998
NFLX,2023-12-12,461.608002
NFLX,2023-12-19,493.049988
NFLX,2023-12-26,488.045898
GOOGL,2023-03-07,94.283302
GOOGL,2023-03-14,93.190102
GOOGL,2023-03-21,104.839996
GOOGL,2023-03-28,100.690002
GOOGL,2023-04-04,104.714996
GOOGL,2023-04-11,105.684998
GOOGL,2023-04-18,104.519997
GOOGL,2023-04-25,105.019997
GOOGL,2023-05-02,105.57
GOOGL,2023-05-09,108.095001
GOOGL,2023-05-16,119.989998
GOOGL,2023-05-23,123.129997
GOOGL,2023-05-30,123.2957
GOOGL,2023-06-06,128.274994
GOOGL,2023-06-13,123.989899
GOOGL,2023-06-20,123.449997
GOOGL,2023-06-27,118.026802
GOOGL,2023-07-11,117.129997
GOOGL,2023-07-18,123.5
GOOGL,2023-07-25,122.925003
GOOGL,2023-08-01,131.824997
GOOGL,2023-08-08,131.050003
GOOGL,2023-08-15,130.669998
GOOGL,2023-08-22,129.070007
GOOGL,2023-08-29,134.360001
GOOGL,2023-09-05,135.539993
GOOGL,2023-09-12,136.089996
GOOGL,2023-09-19,137.270004
GOOGL,2023-09-26,128.210007
GOOGL,2023-10-03,132.925003
GOOGL,2023-10-10,138.904999
GOOGL,2023-10-17,139.539993
GOOGL,2023-10-24,138.110001
GOOGL,2023-10-31,123.230003
GOOGL,2023-11-07,131.585007
GOOGL,2023-11-14,134.880005
GOOGL,2023-11-21,136.619995
GOOGL,2023-11-28,136.520004
GOOGL,2023-12-05,130.475006
GOOGL,2023-12-12,132.520004
GOOGL,2023-12-19,136.705002
GOOGL,2023-12-26,141.375
