Stock Ticker,Date,Price,Change
AAPL,2023-03-07,152.491699,0.0
AAPL,2023-03-14,151.815002,-0.004437598927926028
AAPL,2023-03-21,158.684998,0.04525241846652293
AAPL,2023-03-28,156.455002,-0.014052973047899587
AAPL,2023-04-04,166.079895,0.06151860200672897
AAPL,2023-04-11,161.411697,-0.028108146383401734
AAPL,2023-04-18,165.925003,0.027961455606281122
AAPL,2023-04-25,164.339996,-0.009552550678573682
AAPL,2023-05-02,168.809998,0.02719972075452645
AAPL,2023-05-09,172.205002,0.020111391743515096
AAPL,2023-05-16,172.161102,-0.0002549287157176063
AAPL,2023-05-23,172.074997,-0.0005001420123344902
AAPL,2023-05-30,177.149994,0.02949293673385911
AAPL,2023-06-06,178.714996,0.008834332785808738
AAPL,2023-06-13,183.020798,0.024093120870506017
AAPL,2023-06-20,185.929993,0.01589543391675072
AAPL,2023-06-27,187.785004,0.009976932554394226
AAPL,2023-07-11,187.410004,-0.0019969645712497896
AAPL,2023-07-18,192.934998,0.02948078481445431
AAPL,2023-07-25,194.199997,0.006556607215451853
AAPL,2023-08-01,195.729507,0.007875952747826336
AAPL,2023-08-08,178.893295,-0.08601775101799043
AAPL,2023-08-15,178.129898,-0.004267331539731535
AAPL,2023-08-22,177.130005,-0.0056132800345508865
AAPL,2023-08-29,183.740005,0.03731722358388679
AAPL,2023-09-05,189.229996,0.029879127302734117
AAPL,2023-09-12,177.569901,-0.06161863999616642
AAPL,2023-09-19,178.580002,0.0056884696917188695
AAPL,2023-09-26,172.845001,-0.03211446374605825
AAPL,2023-10-03,172.001801,-0.004878359195357903
AAPL,2023-10-10,178.449997,0.03748911908195657
AAPL,2023-10-17,177.667801,-0.004383278302885032
AAPL,2023-10-24,172.190002,-0.030831692457318163
AAPL,2023-10-31,170.281998,-0.01108080595759564
AAPL,2023-11-07,182.014999,0.06890335524486858
AAPL,2023-11-14,187.460007,0.02991516100274792
AAPL,2023-11-21,190.119995,0.014189629257828837
AAPL,2023-11-28,189.970093,-0.0007884599407863298
AAPL,2023-12-05,193.139999,0.01668634230757574
AAPL,2023-12-12,193.660004,0.0026923734218306464
AAPL,2023-12-19,196.244995,0.013348089159390921
AAPL,2023-12-26,193.139999,-0.01582203918117759
AMZN,2023-03-07,94.125603,0.0
AMZN,2023-03-14,93.789902,-0.0035665216402385254
AMZN,2023-03-21,99.720001,0.06322747836968631
AMZN,2023-03-28,97.379898,-0.02346673662789072
AMZN,2023-04-04,103.179901,0.059560577892574955
AMZN,2023-04-11,99.925003,-0.03154585310175862
AMZN,2023-04-18,102.035004,0.021115846251212992
AMZN,2023-04-25,103.974998,0.01901302419706867
AMZN,2023-05-02,103.385002,-0.005674402609750464
AMZN,2023-05-09,106.591301,0.031013192803342998
AMZN,2023-05-16,114.199997,0.07138196014701044
AMZN,2023-05-23,116.082802,0.016486909364805017
AMZN,2023-05-30,121.419899,0.04597663829651528
AMZN,2023-06-06,126.940002,0.045462918726361365
AMZN,2023-06-13,126.639999,-0.0023633448501127626
AMZN,2023-06-20,126.130096,-0.004026397694459935
AMZN,2023-06-27,129.220001,0.024497761422460202
AMZN,2023-07-11,128.529999,-0.00533974612800067
AMZN,2023-07-18,133.045898,0.035134980433633944
AMZN,2023-07-25,129.160004,-0.029207168792231442
AMZN,2023-08-01,132.210007,0.02361414451489181
AMZN,2023-08-08,139.690002,0.056576617532438395
AMZN,2023-08-15,138.1604,-0.010949974787744529
AMZN,2023-08-22,134.320007,-0.02779662624022517
AMZN,2023-08-29,134.154999,-0.0012284692629594657
AMZN,2023-09-05,136.690002,0.018896075575983485
AMZN,2023-09-12,142.509995,0.04257804458880622
AMZN,2023-09-19,136.541,-0.04188474639971748
AMZN,2023-09-26,127.169998,-0.06863141473989491
