Stock 1,Stock 2,Covariance
ICE,SMCI,0.0039197865153622015
AXON,MS,0.003919163008398781
COF,EPAM,0.003917501025908695
AXON,INTU,0.003910228220690505
EL,WYNN,0.003891654439460063
CBOE,SMCI,0.003884873769131131
CI,CRL,0.0038824456281730114
APD,SMCI,0.0038777427197871604
FTNT,INTU,0.0038741276341273815
AXON,HWM,0.003870382757313567
FTNT,SYF,0.0038620760265498572
EPAM,GS,0.00386203101062134
MET,SMCI,0.0038557320641149522
CE,MRNA,0.0038475049363761674
EPAM,HBAN,0.0038431789727971185
EPAM,HUM,0.0038371236897882994
PAYC,TPL,0.0038363636254763176
IP,WAT,0.003834216564366163
AXON,VTRS,0.0038330027130994595
AMTM,RVTY,0.0038249743591282867
INTU,TSLA,0.003823880690290311
FICO,TPL,0.003821162329070882
AMTM,PARA,0.003812821782712509
AXON,COF,0.0038028672427088597
CHTR,IP,0.003794985024458785
INCY,WAT,0.003794605887450182
SMCI,VZ,0.0037930959927907795
AMTM,PCAR,0.003788504742495063
AMTM,CDW,0.0037804714211066627
EPAM,JCI,0.0037801793922372117
CZR,HII,0.003779049903784033
AXON,ORCL,0.0037768620859696986
EL,MRNA,0.003772021152613984
AMTM,UBER,0.003769018915365862
AVGO,TSLA,0.003767431705900046
INCY,MRNA,0.0037601140946285487
CRL,MCK,0.0037588177925177257
TRMB,TSLA,0.003757448496181963
ADBE,WBA,0.003754335820320339
MRNA,MTCH,0.0037478564084723735
PAYC,TECH,0.0037453977707601616
CHTR,GRMN,0.003733316459876186
EPAM,WFC,0.00373206945863696
AXON,URI,0.0037301099159881496
MPWR,MRNA,0.0037272987309314486
AMTM,URI,0.0037265082496555114
TPL,VST,0.0037183304914321746
CI,HUM,0.003711599331982072
DAY,IP,0.0037069822239248194
AXON,PLTR,0.0037027912984193504
AMTM,MLM,0.0036945284574435343
ADBE,CRL,0.0036877376559704025
CPAY,EPAM,0.003675939044968763
AXON,MTB,0.0036742505387430363
FTNT,ODFL,0.003673822436162858
NEM,SMCI,0.0036700596662395234
CRL,HUM,0.0036595134018978675
EPAM,LDOS,0.003659436984177828
AXON,ODFL,0.003657650349626627
AMTM,HST,0.003652629914433213
EMN,SMCI,0.003651759258657624
NUE,UNH,0.003651720375113736
EPAM,PNC,0.0036469801320358486
CE,CZR,0.0036386703382709517
DG,SMCI,0.003637366118411079
ODFL,TPL,0.003635196852427086
NXPI,QRVO,0.003632339132367362
TPL,URI,0.0036313764582585686
ES,SMCI,0.003629549586406071
HUM,KMX,0.0036277094628832103
MGM,QRVO,0.003623140597885684
CRL,ODFL,0.0036204810082312183
HUM,TPL,0.0036198184674383184
AMTM,TRMB,0.00361786134510105
MRNA,TECH,0.003615541445488229
CI,MCK,0.00361136340948923
AMTM,GD,0.0036073891414039015
CVS,NUE,0.003600543720780219
EL,MGM,0.0035964530922941297
CRL,DFS,0.0035956213722245253
CRM,TSLA,0.00359490033055635
MOH,MRNA,0.003594637014488031
AMTM,APTV,0.003594328644908633
TPL,TRGP,0.0035928563326125596
DIS,SMCI,0.0035913961349394114
ABBV,MRNA,0.0035896772898041055
AMTM,DFS,0.0035881264198832363
CHTR,WAT,0.0035876485390652422
FTNT,HBAN,0.0035867492821316047
CDW,HII,0.003585892725355925
INCY,PAYC,0.003585202973557191
FTNT,WFC,0.0035829061771282924
EPAM,INCY,0.0035797282021484828
EPAM,SRE,0.0035652123234174247
REGN,SMCI,0.0035630133893900192
DAY,GRMN,0.0035629878032024166
CE,CEG,0.003559746980622014
FTNT,GS,0.0035503778281229907
FMC,SMCI,0.003547983251360666
AMTM,COF,0.0035456619341835576
EPAM,VST,0.0035406809217474744
AMTM,RCL,0.0035356298748994656
ED,SMCI,0.0035337263791352853
AMTM,NSC,0.0035293485004800756
EL,NXPI,0.0035291947912777823
EPAM,KEY,0.003519797492445973
CEG,QRVO,0.0035183144760450886
AAPL,SMCI,0.0035122653892544495
IFF,SMCI,0.0035108434737040834
AMTM,REGN,0.0035106324470262924
CRL,NUE,0.0035091554133213306
AXON,KEY,0.003504081150872043
GOOGL,TSLA,0.0035018649128848397
DXCM,SMCI,0.0034999951823431207
COF,FTNT,0.003499638735633108
DAY,TPL,0.0034937093485055293
AMTM,VRTX,0.0034925587234344753
AMTM,CZR,0.0034894899293642827
ADBE,CI,0.0034860933881888465
HII,NXPI,0.003482338688882606
FTNT,PODD,0.0034783762157845084
CI,UNH,0.0034777163631049867
AMTM,IT,0.0034762767932464862
HAL,TPL,0.0034746700287504075
AMTM,LULU,0.0034723430245568038
AMTM,VMC,0.0034701540875019354
CI,CVS,0.0034658358675923964
NUE,SMCI,0.0034613113191642782
CI,FTNT,0.003460495186948106
NCLH,TPL,0.003457146294262761
CRL,FICO,0.0034563300026270284
NEE,SMCI,0.0034542387284679796
FICO,MCK,0.0034517539841746794
LDOS,NUE,0.0034496472699017387
INCY,NUE,0.003448688415634112
ADBE,NUE,0.003447852187819809
CZR,EL,0.003440433852106207
EPAM,URI,0.0034358896141758292
AMGN,AMTM,0.003435127257611813
APTV,MPWR,0.003434340960259205
EPAM,NUE,0.0034333097469412192
GOOG,TSLA,0.0034331684534623015
ENPH,WAT,0.003431270956098271
DELL,TPL,0.003431129597729385
AXON,EOG,0.003425256379956403
CPAY,FTNT,0.0034245651873280694
IPG,SMCI,0.0034242205002825857
ON,SMCI,0.003423897539619985
CRL,CRM,0.003421123456111678
OMC,TPL,0.0034194853018346795
GRMN,SW,0.0034154304170746826
MTD,WAT,0.0034104055675055703
AMTM,GILD,0.003410389806596031
ENPH,SW,0.0034069655777762215
AXON,KKR,0.0034050506132234874
STLD,TPL,0.0034012187867217035
EPAM,UNH,0.0033955350055835925
INCY,IPG,0.003392770512528122
CDW,QRVO,0.0033919555407564772
CTVA,ENPH,0.0033878882133661654
INCY,KMX,0.0033865285757188196
EL,LLY,0.003385823942192985
FTNT,JCI,0.0033827682790960505
CNC,ENPH,0.0033821275219697335
FTNT,PNC,0.003374605131367764
AXON,PNC,0.0033712258939826594
EQT,FTNT,0.0033685663094462173
HII,MGM,0.0033669175183316394
CDNS,MOH,0.0033668679461463
AMTM,LHX,0.003362333679669075
HUM,UNH,0.003347683039411465
AMT,ENPH,0.00334756263719784
AXON,RF,0.003347537993262
HII,LLY,0.0033427388097598196
CTVA,SMCI,0.003341072368988215
FICO,VST,0.0033387888278219244
HUM,STLD,0.0033384227305698583
DFS,TRMB,0.003334778773828184
INCY,KEYS,0.003333685778063977
ADBE,FTNT,0.003332673499622385
FTNT,URI,0.003330202468193907
EPAM,RF,0.003329627117127065
EPAM,HPE,0.003327735077953305
MCK,TRMB,0.003324883074876751
AXON,CAH,0.003322296846477923
AMD,QRVO,0.0033185312819898997
NUE,STLD,0.0033160055229708193
AXON,NUE,0.0033118179729849408
AMTM,FAST,0.003310506675427451
AMTM,CSX,0.003308746688266201
ACGL,SMCI,0.0033067370220617913
CRL,INTU,0.0033048650304895325
AXON,ETN,0.003304412349289505
CE,MGM,0.0033036339282988304
AMTM,PNC,0.00330241658307366
AMTM,CSGP,0.00330145357557678
FTNT,SRE,0.0032971074805919452
APTV,LLY,0.003296832372808651
FICO,TRMB,0.0032926081898991158
IBM,SMCI,0.003291067706499756
EPAM,VTRS,0.0032898117173210313
EL,TFX,0.0032823674422442794
AMTM,ULTA,0.0032801986894296616
AMTM,ZBRA,0.003270606628965082
ENPH,TECH,0.0032671478912838
TPL,WFC,0.0032612798355766298
CMG,HII,0.003257619289011344
CI,GPC,0.0032553589365453862
CI,TRMB,0.0032532514501910415
AMTM,CTSH,0.003252645509182766
DVA,HUM,0.003251213117384401
AIZ,AXON,0.0032461140610154423
AMTM,NOW,0.003244280702247092
CVS,TPL,0.0032442203780825643
EPAM,TPL,0.003241645401089683
AMTM,NDSN,0.0032377096505558528
INCY,ODFL,0.003236135653034942
APTV,CZR,0.003235654636078568
QRVO,TFX,0.0032298550319294337
CFG,EPAM,0.0032270360963924504
ERIE,QRVO,0.003225586774316745
APTV,CDW,0.003222791023083054
CE,TFX,0.003220539927966776
CHTR,DAY,0.0032193911245662387
HUM,NDSN,0.0032166860557196297
JCI,TSLA,0.0032136328293583547
AMTM,TXT,0.003203928291759481
FSLR,SMCI,0.0032015867245153077
LDOS,ODFL,0.0031984683170135225
DFS,FICO,0.003195209820901898
HUM,MCK,0.003192478809654387
